"DISPL:0","DISPL:1","DISPL:2","LINVEL:0","LINVEL:1","LINVEL:2","NUMBER","ANGVEL:0","ANGVEL:1","ANGVEL:2","FORCE:0","FORCE:1","FORCE:2","TORQUE:0","TORQUE:1","TORQUE:2","ORIENT:0","ORIENT:1","ORIENT:2","ORIENT:3","ORIENT:4","ORIENT:5","ORIENT:6","ORIENT:7","ORIENT:8","ORIENT1:0","ORIENT1:1","ORIENT1:2","ORIENT2:0","ORIENT2:1","ORIENT2:2","ORIENT3:0","ORIENT3:1","ORIENT3:2","Points:0","Points:1","Points:2"
-0.00068818,0,0,0.057973,0,0,0,0,0,0,3014.2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1.3649,1.3656,0.4125
-0.00087519,0.00016623,30.836,0.049928,0.00322,23.341,1,0,0,-0.17503,1.455,-1.3147,1.4028,0,0,-0.04854,0.99999,0.004675,0,-0.004675,0.99999,0,0,0,1,0.99999,0.004675,0,-0.004675,0.99999,0,0,0,1,0.771,0.29704,31.352
-0.0008703,0.00016865,30.827,0.058182,0.0002612,23.334,2,-0.011058,-0.0030658,0.011509,0.090703,0.11925,1.4028,0.00092302,-0.0018327,0.0068693,0.99999,0.0052157,0.00023671,-0.0052158,0.99999,0.00022762,-0.00023545,-0.00022885,1,0.99999,0.0052157,0.00023671,-0.0052158,0.99999,0.00022762,-0.00023545,-0.00022885,1,0.88975,0.29704,31.343
-0.00085514,0.00011376,30.829,0.051895,-0.0070822,23.332,3,0.033835,0.034674,-0.080749,0,0,1.4028,0,0,0,0.99999,0.0038561,0.00091677,-0.0038565,0.99999,0.00048514,-0.00091529,-0.00048867,1,0.99999,0.0038561,0.00091677,-0.0038565,0.99999,0.00048514,-0.00091529,-0.00048867,1,1.0085,0.29699,31.345
-0.00082318,0.00013913,30.827,0.062155,-0.0027267,23.334,4,0.016861,0.013579,-0.23254,0,0,1.4028,0,0,0,0.99999,0.003174,0.00066971,-0.0031743,0.99999,0.00043141,-0.00066843,-0.00043354,1,0.99999,0.003174,0.00066971,-0.0031743,0.99999,0.00043141,-0.00066843,-0.00043354,1,1.1273,0.29701,31.343
-0.0008262,8.7226e-05,30.828,0.049935,0.0033213,23.334,5,-0.14102,-0.059575,0.2527,-4.1108,-0.31528,1.4028,0.010037,-0.13043,-0.14735,1,0.0019288,-0.0023579,-0.0019355,0.99999,-0.0028602,0.0023518,0.0028647,0.99999,1,0.0019288,-0.0023579,-0.0019355,0.99999,-0.0028602,0.0023518,0.0028647,0.99999,1.246,0.29696,31.344
-0.00085599,-6.8835e-05,30.827,0.062849,-0.00086049,23.334,6,0.16551,-0.17725,0.19912,0.051648,0.051648,1.4028,-0.00072048,0.00072048,0.0007576,1,0.0026524,0.00041312,-0.0026526,1,0.00048928,-0.0004127,-0.00049037,1,1,0.0026524,0.00041312,-0.0026526,1,0.00048928,-0.0004127,-0.00049037,1,1.3648,0.29681,31.343
-0.00087483,4.606e-05,30.831,0.047017,-0.017053,23.337,7,0.16813,-0.35826,-0.55678,-2.6979,-6.3877,1.4028,0.20256,-0.08552,0.090143,1,0.0025996,0.00038004,-0.0025995,1,-0.00036855,-0.00038124,0.00036756,1,1,0.0025996,0.00038004,-0.0025995,1,-0.00036855,-0.00038124,0.00036756,1,1.4835,0.29692,31.347
-0.00094044,0.00014108,30.829,0.064762,0.0042772,23.329,8,-0.036533,0.28804,-0.1735,-0.21801,0.1642,1.4028,-0.0068995,-0.0051917,-0.022884,0.99997,0.0073254,0.001118,-0.0073257,0.99997,0.00023862,-0.0011169,-0.00024681,1,0.99997,0.0073254,0.001118,-0.0073257,0.99997,0.00023862,-0.0011169,-0.00024681,1,1.6022,0.29702,31.345
-0.00090866,9.7274e-05,30.83,0.058749,0.0013857,23.336,9,0.049885,-0.069099,0.065691,0.43452,-0.19984,1.4028,-0.0022882,-0.0097328,-0.010228,0.99999,0.0043855,-0.00025869,-0.0043856,0.99999,-0.00042648,0.00025636,0.00042762,1,0.99999,0.0043855,-0.00025869,-0.0043856,0.99999,-0.00042648,0.00025636,0.00042762,1,1.721,0.29697,31.345
-0.00068679,0.00012942,30.831,0.057846,-0.0025724,23.336,10,0.0046653,-0.0085517,-0.092745,0.28993,-0.28993,1.4028,-0.00040848,-0.00040848,0.0096701,1,-0.0014643,0.0011655,0.0014629,1,0.001169,-0.0011672,-0.0011673,1,1,-0.0014643,0.0011655,0.0014629,1,0.001169,-0.0011672,-0.0011673,1,1.8399,0.297,31.346
-0.00094805,-9.5898e-05,30.836,0.053039,-0.0019088,23.341,11,0,0,-0.20591,0,0,1.4028,0,0,0,1,-0.0003084,0,0.0003084,1,0,0,0,1,1,-0.0003084,0,0.0003084,1,0,0,0,1,1.9584,0.29678,31.352
-0.00099936,0.00021929,30.833,0.058993,-0.0043819,23.336,12,0.023495,-0.066028,0.012291,10.469,-4.7466,19.895,-0.15026,0.041198,-0.27347,1,0.0008117,0.002573,-0.00080753,1,-0.00162,-0.0025744,0.0016179,1,1,0.0008117,0.002573,-0.00080753,1,-0.00162,-0.0025744,0.0016179,1,0.83025,0.35647,31.349
-0.001463,7.1052e-06,30.83,0.049487,0.0082526,23.33,13,-0.028189,-0.0051447,0.035368,7.936,0.31116,9.9473,-0.018893,-0.29141,-0.044297,0.99997,-0.0067205,0.0046442,0.0067232,0.99998,-0.00058015,-0.0046404,0.00061135,0.99999,0.99997,-0.0067205,0.0046442,0.0067232,0.99998,-0.00058015,-0.0046404,0.00061135,0.99999,0.92757,0.37722,31.346
-0.00085762,0.00019653,30.826,0.047477,-0.0059973,23.327,14,-0.18936,0.045552,0.27022,0,0,9.9473,0,0,0,0.99999,-0.0017676,0.0031755,0.0017727,1,-0.0016089,-0.0031729,0.0016145,0.99999,0.99999,-0.0017676,0.0031755,0.0017727,1,-0.0016089,-0.0031729,0.0016145,0.99999,0.97011,0.33548,31.342
-0.0010501,0.00023144,30.822,0.054577,0.0032186,23.322,15,-0.032414,-0.063877,0.022118,3.9213,-4.3106,19.895,-0.30995,0.01714,-0.34437,0.99999,0.0023,0.0036584,-0.0022924,1,-0.0020852,-0.0036634,0.0020768,0.99999,0.99999,0.0023,0.0036584,-0.0022924,1,-0.0020852,-0.0036634,0.0020768,0.99999,1.0677,0.35648,31.338
-0.0010074,0.0001317,30.825,0.052732,-0.014754,23.323,16,0.20652,-0.089975,0.11938,1.1021,0,19.895,0,-0.11379,-0.052799,1,0.00084133,0.0022693,-0.0008366,1,-0.0020844,-0.0022712,0.0020825,1,1,0.00084133,0.0022693,-0.0008366,1,-0.0020844,-0.0022712,0.0020825,1,1.1865,0.35638,31.341
-0.0010321,-8.7075e-07,30.827,0.057755,-0.0057329,23.327,17,0.16938,-0.063057,0.084713,-0.35234,0.21263,19.895,-0.056492,-0.05909,0.010724,0.99999,0.0015783,0.0028682,-0.0015789,1,0.00019134,-0.002868,-0.00019587,1,0.99999,0.0015783,0.0028682,-0.0015789,1,0.00019134,-0.002868,-0.00019587,1,1.3052,0.35625,31.342
-0.0010224,-8.4933e-05,30.825,0.060434,-0.0086922,23.327,18,0.1429,0.046036,-0.11824,5.8015,6.3047,19.895,-0.10449,0.088435,0.26622,0.99999,0.0018957,0.0033243,-0.0018995,1,0.0011379,-0.0033222,-0.0011442,0.99999,0.99999,0.0018957,0.0033243,-0.0018995,1,0.0011379,-0.0033222,-0.0011442,0.99999,1.424,0.35617,31.341
-0.0011192,8.7383e-05,30.825,0.053735,0.00098978,23.325,19,0.099621,-0.046597,0.11431,0,0,9.9473,0,0,0,0.99998,0.0021612,0.0059411,-0.0021489,1,-0.0020773,-0.0059456,0.0020645,0.99998,0.99998,0.0021612,0.0059411,-0.0021489,1,-0.0020773,-0.0059456,0.0020645,0.99998,1.5636,0.3773,31.341
-0.0011218,-0.00013166,30.823,0.057198,-0.018466,23.323,20,-0.080309,0.044828,0.31347,4.0466,1.8718,9.9473,-0.057555,0.12675,0.14291,0.99999,0.0040585,0.0019512,-0.0040609,0.99999,0.0012263,-0.0019464,-0.0012342,1,0.99999,0.0040585,0.0019512,-0.0040609,0.99999,0.0012263,-0.0019464,-0.0012342,1,1.5217,0.33515,31.339
-0.0012838,4.5648e-05,30.824,0.075414,0.0026228,23.321,21,-0.11769,0.073208,0.12033,2.6078,2.567,9.9473,0.124,-0.082569,-0.1501,0.99999,-0.001069,0.0043347,0.0010701,1,-0.00025561,-0.0043347,0.00026025,0.99999,0.99999,-0.001069,0.0043347,0.0010701,1,-0.00025561,-0.0043347,0.00026025,0.99999,1.6316,0.3563,31.34
-0.00098197,0.00018099,30.828,0.053406,-0.0047834,23.333,22,0.0043113,-0.15088,0.15496,-0.11734,-0.11734,9.9473,-0.0037051,0.0037051,-0.0060623,1,0.0003891,0.0022483,-0.00038251,1,-0.0029288,-0.0022495,0.0029279,0.99999,1,0.0003891,0.0022483,-0.00038251,1,-0.0029288,-0.0022495,0.0029279,0.99999,1.6912,0.35643,31.344
-0.00076767,-0.00011068,30.827,0.058133,-0.0035436,23.326,23,0.013103,0.032556,0.09509,2.6512,-5.723,9.9473,0.14803,0.14004,-0.029722,0.99998,0.0067291,0.0017979,-0.0067301,0.99998,0.00050629,-0.0017949,-0.00051837,1,0.99998,0.0067291,0.0017979,-0.0067301,0.99998,0.00050629,-0.0017949,-0.00051837,1,1.8014,0.3771,31.343
-0.0011616,0.00026233,30.829,0.062917,0.0010597,23.333,24,-0.035811,0.025474,-0.12087,4.6481,-3.9243,9.9473,0.42769,-0.12794,0.059029,0.99997,0.0069324,0.0039642,-0.0069254,0.99997,-0.0017951,-0.003977,0.0017676,0.99999,0.99997,0.0069324,0.0039642,-0.0069254,0.99997,-0.0017951,-0.003977,0.0017676,0.99999,1.7591,0.33555,31.345
-0.0010225,0.00032168,30.829,0.064699,-0.00071555,23.329,25,0.084035,0.02741,0.13544,2.5546,-2.5546,9.9473,-0.058363,-0.058363,0.097166,0.99994,0.010355,0.0018315,-0.010357,0.99995,0.0010107,-0.0018212,-0.0010296,1,0.99994,0.010355,0.0018315,-0.010357,0.99995,0.0010107,-0.0018212,-0.0010296,1,1.8693,0.35657,31.344
-0.00094255,-0.00048859,30.831,0.068029,0.0036872,23.334,26,-0.18259,0.011032,0.185,0,0,9.9473,0,0,0,0.99996,0.0090008,0.0018687,-0.0090013,0.99996,0.00024443,-0.0018665,-0.00026124,1,0.99996,0.0090008,0.0018687,-0.0090013,0.99996,0.00024443,-0.0018665,-0.00026124,1,1.9287,0.35576,31.347
-0.0009066,0.00019555,30.836,0.064651,-0.0048736,23.341,27,0,0,-0.044478,0,0,1.4028,0,0,0,0.99999,-0.0046066,0,0.0046066,0.99999,0,0,0,1,0.99999,-0.0046066,0,0.0046066,0.99999,0,0,0,1,0.65222,0.41582,31.352
-0.00098191,7.403e-05,30.831,0.053416,-0.0016742,23.337,28,0.093892,0.036338,-0.031738,0.45329,0.26996,1.4028,-0.0085656,0.014374,-0.0090017,0.99998,0.0058815,0.0012341,-0.0058828,0.99998,0.0010528,-0.0012284,-0.00106,1,0.99998,0.0058815,0.0012341,-0.0058828,0.99998,0.0010528,-0.0012284,-0.00106,1,0.77089,0.4157,31.347
-0.0012398,0.00011016,30.83,0.05439,0.00022872,23.329,29,-0.13222,-0.1079,0.042732,0.58439,-0.071648,1.4028,-0.001944,-0.019733,-0.002193,0.99997,0.0020503,0.0077286,-0.0020343,1,-0.0020761,-0.0077329,0.0020603,0.99997,0.99997,0.0020503,0.0077286,-0.0020343,1,-0.0020761,-0.0077329,0.0020603,0.99997,0.88939,0.41574,31.346
-0.0012117,2.3353e-05,30.824,0.058154,0.0086734,23.323,30,-0.12666,-0.0041465,-0.21656,0.25944,0.39755,1.4028,0.021747,-0.0011298,-0.017504,0.99994,0.008113,0.0070815,-0.0080947,0.99996,-0.0025973,-0.0071024,0.0025399,0.99997,0.99994,0.008113,0.0070815,-0.0080947,0.99996,-0.0025973,-0.0071024,0.0025399,0.99997,1.0082,0.41565,31.34
