"DISPL:0","DISPL:1","DISPL:2","LINVEL:0","LINVEL:1","LINVEL:2","NUMBER","ANGVEL:0","ANGVEL:1","ANGVEL:2","FORCE:0","FORCE:1","FORCE:2","TORQUE:0","TORQUE:1","TORQUE:2","ORIENT:0","ORIENT:1","ORIENT:2","ORIENT:3","ORIENT:4","ORIENT:5","ORIENT:6","ORIENT:7","ORIENT:8","ORIENT1:0","ORIENT1:1","ORIENT1:2","ORIENT2:0","ORIENT2:1","ORIENT2:2","ORIENT3:0","ORIENT3:1","ORIENT3:2","Points:0","Points:1","Points:2"
-0.00068818,0,0,0.057973,0,0,0,0,0,0,3014.2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1.3649,1.3656,0.4125
-0.00096563,0.00011422,30.836,0.058855,0.0030201,23.341,1,0,0,-0.10453,0.10278,-0.04225,1.4028,0,0,0,1,-0.00036358,0,0.00036358,1,0,0,0,1,1,-0.00036358,0,0.00036358,1,0,0,0,1,0.77091,0.29699,31.352
-0.00083865,-5.3337e-05,30.828,0.062707,-0.0056098,23.334,2,0.15418,0.20561,-0.032543,0,0,1.4028,0,0,0,1,0.00085604,-0.00030677,-0.00085594,1,0.00034151,0.00030651,-0.00034125,1,1,0.00085604,-0.00030677,-0.00085594,1,0.00034151,0.00030651,-0.00034125,1,0.88979,0.29682,31.344
-0.0009885,2.0501e-05,30.829,0.040904,0.002908,23.335,3,0.026524,0.13874,0.31607,0.038464,0.038464,1.4028,-0.0012222,0.0012222,0.0012794,0.99996,0.0075979,0.0039947,-0.0076008,0.99997,0.00072238,-0.0039895,-0.00075272,0.99999,0.99996,0.0075979,0.0039947,-0.0076008,0.99997,0.00072238,-0.0039895,-0.00075272,0.99999,1.0084,0.2969,31.345
-0.00085434,-0.00014356,30.831,0.063938,0.00022933,23.337,4,0.03532,0.036997,-0.18482,0.17196,-0.0596,1.4028,0.0018859,0.0054598,-0.003102,0.99999,0.00403,0.00059676,-0.0040297,0.99999,-0.00054908,-0.00059931,0.00054667,1,0.99999,0.00403,0.00059676,-0.0040297,0.99999,-0.00054908,-0.00059931,0.00054667,1,1.1273,0.29673,31.347
-0.00087912,-5.89e-05,30.828,0.046576,-0.015509,23.335,5,0.063321,0.089794,-0.25857,0.055798,1.0668,1.4028,-0.033848,0.0017803,0.0090927,0.99999,0.0037151,0.0019062,-0.0037145,0.99999,-0.00035077,-0.0019077,0.00034368,1,0.99999,0.0037151,0.0019062,-0.0037145,0.99999,-0.00035077,-0.0019077,0.00034368,1,1.246,0.29682,31.344
-0.00084603,3.363e-05,30.83,0.052513,-0.0089241,23.336,6,0.12471,0.057368,-0.18279,0,0,1.4028,0,0,0,0.99999,0.0045409,0.0014562,-0.0045377,0.99999,-0.0022068,-0.0014667,0.0022001,1,0.99999,0.0045409,0.0014562,-0.0045377,0.99999,-0.0022068,-0.0014667,0.0022001,1,1.3648,0.29691,31.346
-0.0008964,1.3811e-05,30.829,0.062184,0.00069198,23.33,7,-0.01831,0.065291,-0.099746,0.03857,0.03857,1.4028,0.0012255,-0.0012255,-0.0012829,0.99998,0.0045369,0.0032082,-0.0045367,0.99999,-6.6094e-05,-0.0032084,5.1538e-05,0.99999,0.99998,0.0045369,0.0032082,-0.0045367,0.99999,-6.6094e-05,-0.0032084,5.1538e-05,0.99999,1.4835,0.29689,31.345
-0.00087201,3.6756e-05,30.831,0.055476,0.013969,23.337,8,0.13285,0.1049,0.31156,0.92519,0.37735,1.4028,0.01985,-0.0025759,-0.012312,0.99999,0.0037165,0.0027245,-0.003717,0.99999,0.00016139,-0.0027243,-0.00017152,1,0.99999,0.0037165,0.0027245,-0.003717,0.99999,0.00016139,-0.0027243,-0.00017152,1,1.6022,0.29691,31.347
-0.00092433,4.1092e-05,30.828,0.067034,0.013139,23.335,9,-0.11929,-0.071077,0.17929,1.7639,-2.1956,1.4028,0.069609,0.05591,0.062779,0.99999,0.0034064,0.00071219,-0.0034066,0.99999,0.00025473,-0.00071256,-0.00025716,1,0.99999,0.0034064,0.00071219,-0.0034066,0.99999,0.00025473,-0.00071256,-0.00025716,1,1.721,0.29692,31.344
-0.00079548,0.00012025,30.828,0.055298,0.0012288,23.334,10,0.30902,-0.1143,0.068109,-0.38736,0.38736,1.4028,-0.012306,-0.012306,-0.012885,1,0.002092,-0.0011558,-0.002094,1,-0.0017444,0.0011518,0.0017468,1,1,0.002092,-0.0011558,-0.002094,1,-0.0017444,0.0011518,0.0017468,1,1.8398,0.297,31.344
-0.00095666,-0.00013457,30.836,0.060844,-0.0014687,23.341,11,0,0,-0.30753,6.6876,-5.1057,1.4028,0,0,0.18797,1,-0.0013267,0,0.0013267,1,0,0,0,1,1,-0.0013267,0,0.0013267,1,0,0,0,1,1.9584,0.29674,31.352
