"DISPL:0","DISPL:1","DISPL:2","LINVEL:0","LINVEL:1","LINVEL:2","NUMBER","ANGVEL:0","ANGVEL:1","ANGVEL:2","FORCE:0","FORCE:1","FORCE:2","TORQUE:0","TORQUE:1","TORQUE:2","ORIENT:0","ORIENT:1","ORIENT:2","ORIENT:3","ORIENT:4","ORIENT:5","ORIENT:6","ORIENT:7","ORIENT:8","ORIENT1:0","ORIENT1:1","ORIENT1:2","ORIENT2:0","ORIENT2:1","ORIENT2:2","ORIENT3:0","ORIENT3:1","ORIENT3:2","Points:0","Points:1","Points:2"
-0.0010575,0.00020805,30.829,0.05993,0.00018582,23.327,15,-0.065035,0.0045104,0.047709,9.5405,-5.4358,19.895,-0.16724,-0.20902,0.058622,0.99999,0.0023327,0.0035143,-0.0023252,1,-0.0021214,-0.0035194,0.0021132,0.99999,0.99999,0.0023327,0.0035143,-0.0023252,1,-0.0021214,-0.0035194,0.0021132,0.99999,1.1864,0.35646,31.345
-0.0011191,0.00012939,30.816,0.054583,-0.0016631,23.317,16,0.02988,0.00649,-0.054526,1.9305,0,9.9473,0,-0.19889,-0.09305,0.99999,0.0021394,0.0039219,-0.0021399,1,0.00010984,-0.003922,-0.00011823,0.99999,0.99999,0.0021394,0.0039219,-0.0021399,1,0.00010984,-0.003922,-0.00011823,0.99999,1.2755,0.35638,31.332
-0.0010621,0.0001172,30.824,0.049194,-0.0016159,23.328,17,-0.11625,-0.14383,0.15694,14.331,0.32892,9.9473,-0.25068,-0.8132,-0.20011,0.99999,0.0024094,0.003468,-0.0024008,0.99999,-0.0024769,-0.0034739,0.0024686,0.99999,0.99999,0.0024094,0.003468,-0.0024008,0.99999,-0.0024769,-0.0034739,0.0024686,0.99999,1.3348,0.35637,31.34
-0.0010271,8.9319e-05,30.832,0.056543,0.0082267,23.338,18,-0.14316,0.11425,0.10179,0.58048,-5.6043,19.895,-0.30288,0.21288,-0.24557,0.99999,0.001883,0.0032974,-0.0018812,1,-0.00052058,-0.0032986,0.00051437,0.99999,0.99999,0.001883,0.0032974,-0.0018812,1,-0.00052058,-0.0032986,0.00051437,0.99999,1.424,0.35634,31.348
-0.0010278,0.00013119,30.831,0.055345,0.0077111,23.333,19,-0.15066,0.068551,-0.054116,-0.36006,0.89473,19.895,0.5927,0.36802,0.54809,0.99999,0.0017811,0.003586,-0.0017751,1,-0.0016905,-0.0035892,0.0016841,0.99999,0.99999,0.0017811,0.003586,-0.0017751,1,-0.0016905,-0.0035892,0.0016841,0.99999,1.5427,0.35638,31.347
-0.0010058,0.00033227,30.83,0.06468,0.009203,23.329,20,-0.06378,0.038009,0.11987,7.4321,-8.5087,19.895,0.3098,0.29377,-0.04293,0.99999,0.0016503,0.0034753,-0.0016384,0.99999,-0.0034092,-0.0034809,0.0034034,0.99999,0.99999,0.0016503,0.0034753,-0.0016384,0.99999,-0.0034092,-0.0034809,0.0034034,0.99999,1.6615,0.35658,31.346
-0.0018161,0.00072822,30.828,0.047551,-0.019044,23.323,21,-0.079228,-0.083446,-0.76224,0,1.1418,9.9473,-0.11753,0,-0.032386,0.99993,0.0012805,0.011907,-0.0012133,0.99998,-0.0056472,-0.011914,0.0056324,0.99991,0.99993,0.0012805,0.011907,-0.0012133,0.99998,-0.0056472,-0.011914,0.0056324,0.99991,1.7585,0.37794,31.344
-0.00090658,-0.00027219,30.828,0.061084,-0.0032383,23.327,22,0.022672,0.15228,0.19662,0,0,9.9473,0,0,0,0.99999,0.0013159,0.0029009,-0.0013196,1,0.0012862,-0.0028991,-0.00129,0.99999,0.99999,0.0013159,0.0029009,-0.0013196,1,0.0012862,-0.0028991,-0.00129,0.99999,1.8013,0.33501,31.343
-0.0010527,-0.00025027,30.828,0.073656,0.0041805,23.326,23,-0.068406,0.023934,0.34463,1.2798,23.629,9.9473,-2.2147,0.072714,-1.4076,0.99998,0.0011431,0.0056505,-0.0011565,1,0.0023725,-0.0056472,-0.002379,0.99998,0.99998,0.0011431,0.0056505,-0.0011565,1,0.0023725,-0.0056472,-0.002379,0.99998,1.8989,0.38565,31.343
-0.00095112,-0.00026705,30.828,0.067431,0.015313,23.331,24,-0.039843,0.043384,0.09005,-7.3897,-17.722,9.9473,2.9774,1.1516,1.0243,0.99999,0.0011185,0.0035183,-0.0011262,1,0.0022009,-0.0035154,-0.0022049,0.99999,0.99999,0.0011185,0.0035183,-0.0011262,1,0.0022009,-0.0035154,-0.0022049,0.99999,1.899,0.32634,31.344
-0.00096911,0.00010964,30.836,0.061328,0.0093364,23.341,25,0,0,0.32613,3.0538,-0.20426,1.4028,0,0,0.053549,1,0.00014968,0,-0.00014968,1,0,0,0,1,1,0.00014968,0,-0.00014968,1,0,0,0,1,0.65216,0.41573,31.352
-0.0008525,0.00010903,30.83,0.05745,0.0079245,23.335,26,0.058944,0.23927,0.058479,-0.038096,-0.10737,1.4028,-0.0012234,0.0031659,0.0043343,0.99999,0.0043211,0.0016388,-0.0043213,0.99999,8.1379e-05,-0.0016385,-8.846e-05,1,0.99999,0.0043211,0.0016388,-0.0043213,0.99999,8.1379e-05,-0.0016385,-8.846e-05,1,0.77102,0.41573,31.345
-0.0012411,-5.4347e-05,30.823,0.061601,0.0017672,23.321,27,0.096571,0.13056,-0.12423,2.1692,0.94292,1.4028,0.0061169,-0.045067,-0.0057694,0.99997,0.001014,0.0081095,-0.001014,1,1.8188e-07,-0.0081097,-8.4052e-06,0.99997,0.99997,0.001014,0.0081095,-0.001014,1,1.8188e-07,-0.0081097,-8.4052e-06,0.99997,0.88938,0.41557,31.339
-0.0011938,2.7838e-05,30.826,0.063175,-0.0015405,23.328,28,0.027361,0.16047,0.027555,0.28682,-0.020346,1.4028,-0.0034178,-0.0057445,-0.0001263,0.99998,0.002485,0.006596,-0.0024905,1,0.00082169,-0.0065944,-0.0008381,0.99998,0.99998,0.002485,0.006596,-0.0024905,1,0.00082169,-0.0065944,-0.0008381,0.99998,1.0082,0.41565,31.341
-0.0012421,9.0952e-05,30.819,0.054181,-0.0040179,23.317,29,0.18077,-0.17455,-0.12777,-0.21699,0.071197,1.4028,-0.0025195,-0.0030762,0.0047638,0.99996,0.0034638,0.0080903,-0.0034518,0.99999,-0.0015017,-0.0080951,0.0014737,0.99997,0.99996,0.0034638,0.0080903,-0.0034518,0.99999,-0.0015017,-0.0080951,0.0014737,0.99997,1.1269,0.41572,31.335
-0.0012132,0.00022155,30.822,0.047192,-0.011464,23.322,30,0.11734,-0.15645,0.033825,-0.29676,-0.85459,1.4028,-0.01691,0.011495,-0.027622,0.99997,-0.00046721,0.0076277,0.00049429,0.99999,-0.0035485,-0.0076265,0.0035522,0.99996,0.99997,-0.00046721,0.0076277,0.00049429,0.99999,-0.0035485,-0.0076265,0.0035522,0.99996,1.2457,0.41585,31.338
-0.0012695,8.2308e-05,30.824,0.057999,0.013339,23.326,31,-0.28606,-0.088653,-0.43031,-0.74982,-0.20329,1.4028,-0.0064589,0.023196,0.013895,0.99995,0.003077,0.0090076,-0.0030699,0.99999,-0.00080349,-0.0090113,0.0007758,0.99996,0.99995,0.003077,0.0090076,-0.0030699,0.99999,-0.00080349,-0.0090113,0.0007758,0.99996,1.3644,0.41571,31.34
-0.0012276,9.8695e-05,30.826,0.061762,0.02301,23.326,32,0.025387,-0.089207,-0.11824,0,0,1.4028,0,0,0,0.99997,0.0025498,0.007898,-0.0025453,1,-0.00057719,-0.0078997,0.00055706,0.99997,0.99997,0.0025498,0.007898,-0.0025453,1,-0.00057719,-0.0078997,0.00055706,0.99997,1.4832,0.41572,31.341
-0.0011934,0.00025752,30.824,0.060106,0.0098223,23.325,33,-0.23885,0.015682,-0.11362,3.4233,-2.1757,1.4028,0.074097,0.033366,-0.016009,0.99996,0.0044256,0.0079712,-0.0044022,0.99999,-0.0029407,-0.0079842,0.0029055,0.99996,0.99996,0.0044256,0.0079712,-0.0044022,0.99999,-0.0029407,-0.0079842,0.0029055,0.99996,1.6019,0.41588,31.34
-0.0012366,3.6141e-05,30.826,0.06861,0.00012692,23.324,34,0.14877,0.24491,-0.34097,0.61707,2.5145,1.4028,0.08043,-0.018902,-0.16126,0.99997,-0.0012381,0.0079141,0.0012352,1,0.00037642,-0.0079151,-0.00036663,0.99997,0.99997,-0.0012381,0.0079141,0.0012352,1,0.00037642,-0.0079151,-0.00036663,0.99997,1.7206,0.41566,31.342
-0.0012924,-0.00024042,30.826,0.065393,-0.00034366,23.323,35,-0.065312,0.13311,-0.17095,0.16507,-0.015261,1.4028,-0.00058106,-0.0051387,0.017483,0.99991,0.0055594,0.012115,-0.0055722,0.99998,0.0010272,-0.012111,-0.0010946,0.99993,0.99991,0.0055594,0.012115,-0.0055722,0.99998,0.0010272,-0.012111,-0.0010946,0.99993,1.8393,0.41538,31.341
-0.00093919,-2.8658e-05,30.829,0.049916,-0.00081416,23.335,36,-0.18861,0.30962,-0.16968,0.30973,-0.16312,1.4028,0.0052511,0.010629,0.0077851,0.99997,0.0064065,0.0032072,-0.0064077,0.99998,0.00034823,-0.0032057,-0.00036877,0.99999,0.99997,0.0064065,0.0032072,-0.0064077,0.99998,0.00034823,-0.0032057,-0.00036877,0.99999,1.9584,0.4156,31.344
-0.00090587,-0.0002067,30.836,0.064379,-0.0069181,23.341,37,0,0,-0.40309,0.62476,0.29778,1.4028,0,0,0.0050342,0.99999,-0.0049715,0,0.0049715,0.99999,0,0,0,1,0.99999,-0.0049715,0,0.0049715,0.99999,0,0,0,1,2.0772,0.41542,31.352
-0.00097094,0.00020178,30.829,0.056551,0.011712,23.331,38,-0.0277,0.090113,-0.11621,6.5911,3.3809,19.895,0.21067,-0.10908,-0.61573,0.99999,0.00070781,0.0032099,-0.0007033,1,-0.0014038,-0.003211,0.0014015,0.99999,0.99999,0.00070781,0.0032099,-0.0007033,1,-0.0014038,-0.003211,0.0014015,0.99999,0.71153,0.4752,31.345
-0.001194,-3.2024e-05,30.83,0.055985,0.0023369,23.331,39,-0.044931,0.060052,0.071609,0.62495,-0.58673,19.895,-0.11797,-0.12165,0.052453,0.99998,9.715e-06,0.0056133,-1.0662e-05,1,0.0001686,-0.0056134,-0.00016866,0.99998,0.99998,9.715e-06,0.0056133,-1.0662e-05,1,0.0001686,-0.0056134,-0.00016866,0.99998,0.83006,0.47497,31.345
-0.0013751,-3.1799e-06,30.822,0.057052,0.0046716,23.321,40,-0.058375,-0.010059,0.023704,6.1095,4.6782,19.895,-0.15359,-0.10591,-0.14885,0.99997,-0.00033701,0.0080752,0.00033718,1,-1.8874e-05,-0.0080753,2.1596e-05,0.99997,0.99997,-0.00033701,0.0080752,0.00033718,1,-1.8874e-05,-0.0080753,2.1596e-05,0.99997,0.94862,0.475,31.338
-0.0013927,0.00011357,30.825,0.050214,0.010059,23.323,41,-0.01348,-0.12734,0.046443,1.8957,-1.8466,9.9473,-0.058007,-0.39024,-0.059571,0.99997,-0.0018561,0.0075301,0.0018658,1,-0.0012857,-0.0075279,0.0012997,0.99997,0.99997,-0.0018561,0.0075301,0.0018658,1,-0.0012857,-0.0075279,0.0012997,0.99997,1.0883,0.49608,31.341
-0.0013515,-0.00015727,30.826,0.061516,-0.0065693,23.329,42,-0.013957,0.0091851,-0.098954,0.45969,0,9.9473,0,-0.047372,0.012462,0.99999,0.00019749,0.0051668,-0.00019982,1,0.00044872,-0.005167,-0.00044974,0.99999,0.99999,0.00019749,0.0051668,-0.00019982,1,0.00044872,-0.005167,-0.00044974,0.99999,1.0464,0.45388,31.342
-0.0013598,0.00021885,30.818,0.044725,0.0019338,23.317,43,-0.014047,-0.099572,-0.11841,6.547,0.070901,19.895,0.0096819,-0.21406,0.027975,0.99997,-9.3037e-05,0.0070817,0.00011524,1,-0.0031351,-0.0070814,0.0031359,0.99997,0.99997,-9.3037e-05,0.0070817,0.00011524,1,-0.0031351,-0.0070814,0.0031359,0.99997,1.1861,0.47522,31.334
-0.0013862,0.00010759,30.814,0.058199,0.0086021,23.314,44,-0.097481,-0.088601,0.058292,5.6146,-1.7483,19.895,-0.053044,0.27346,-0.31232,0.99997,-0.00065644,0.0076798,0.00067117,1,-0.0019152,-0.0076784,0.0019203,0.99997,0.99997,-0.00065644,0.0076798,0.00067117,1,-0.0019152,-0.0076784,0.0019203,0.99997,1.3049,0.47511,31.33
-0.001411,9.1235e-05,30.824,0.056079,0.00080115,23.326,45,-0.13521,-0.0652,0.13538,3.7401,-0.62831,9.9473,-0.01967,-0.11887,0.032694,0.99997,-0.0021589,0.0071306,0.0021735,1,-0.0020364,-0.0071266,0.0020518,0.99997,0.99997,-0.0021589,0.0071306,0.0021735,1,-0.0020364,-0.0071266,0.0020518,0.99997,1.3939,0.47509,31.339
-0.0012211,0.0001383,30.819,0.059192,0.010095,23.319,46,-0.14031,0.066588,-0.13295,3.021,-0.50269,9.9473,0.015966,0.095482,0.11838,0.99998,-0.0029799,0.0060873,0.0029838,1,-0.00063068,-0.0060856,0.00064882,0.99998,0.99998,-0.0029799,0.0060873,0.0029838,1,-0.00063068,-0.0060856,0.00064882,0.99998,1.4534,0.47514,31.335
-0.0013322,0.00012042,30.814,0.055239,0.0065219,23.313,47,-0.09671,-0.050279,0.085663,13.853,-6.6897,19.895,-0.21081,0.25918,0.29514,0.99997,-0.0005209,0.0072192,0.00053624,1,-0.0021233,-0.0072182,0.0021271,0.99997,0.99997,-0.0005209,0.0072192,0.00053624,1,-0.0021233,-0.0072182,0.0021271,0.99997,1.5424,0.47512,31.33
-0.0014974,0.0003783,30.826,0.049784,-0.0065358,23.325,48,-0.017267,-0.10234,-0.048099,0.24914,0.42338,9.9473,0.09573,-0.10902,-0.017861,0.99997,0.0025541,0.0078724,-0.0025229,0.99999,-0.0039775,-0.0078818,0.0039575,0.99996,0.99997,0.0025541,0.0078724,-0.0025229,0.99999,-0.0039775,-0.0078818,0.0039575,0.99996,1.6314,0.47538,31.341
-0.0010743,1.9456e-05,30.818,0.050235,-0.016347,23.308,49,0.18327,0.027134,0.22737,-0.057617,0,9.9473,0,0.005954,-0.0027675,0.99997,-0.0043537,0.0069713,0.0043561,0.99999,-0.00032183,-0.0069698,0.00035219,0.99998,0.99997,-0.0043537,0.0069713,0.0043561,0.99999,-0.00032183,-0.0069698,0.00035219,0.99998,1.6911,0.47502,31.334
-0.0015498,-0.00021788,30.822,0.064372,-0.009832,23.321,50,0.11721,0.0010267,0.069877,4.6908,2.019,19.895,0.17904,-0.033959,-0.29183,0.99995,-0.00091157,0.0094675,0.00089183,1,0.0020898,-0.0094693,-0.0020812,0.99995,0.99995,-0.00091157,0.0094675,0.00089183,1,0.0020898,-0.0094693,-0.0020812,0.99995,1.7797,0.47478,31.338
-0.0013251,5.8507e-06,30.817,0.075373,0.0052336,23.316,51,0.14323,0.02487,-0.062787,8.3232,-0.098225,19.895,-0.053119,0.16578,-0.064471,0.99998,0.00081327,0.006884,-0.00081361,1,4.7892e-05,-0.0068839,-5.3491e-05,0.99998,0.99998,0.00081327,0.006884,-0.00081361,1,4.7892e-05,-0.0068839,-5.3491e-05,0.99998,1.8987,0.47501,31.333
-0.0010189,1.5456e-05,30.827,0.054264,-0.00035602,23.327,52,0.089634,0.060358,-0.0033978,0.065954,-2.9355,19.895,0.0094386,-0.093261,0.00061701,1,0.00096914,0.0022431,-0.00096855,1,-0.00026437,-0.0022435,0.00026219,1,1,0.00096914,0.0022431,-0.00096855,1,-0.00026437,-0.0022435,0.00026219,1,2.0177,0.47502,31.343
-0.00096747,0.00010501,30.836,0.056844,-0.0020162,23.341,53,0,0,0.00013296,0,0,1.4028,0,0,0,1,9.7732e-07,0,-9.7732e-07,1,0,0,0,1,1,9.7732e-07,0,-9.7732e-07,1,0,0,0,1,0.53341,0.53448,31.352
-0.0010375,4.9801e-05,30.831,0.063987,0.012149,23.336,54,-0.047662,0.15263,0.10737,0.34497,0.26159,1.4028,0.011161,-0.0097027,0.0070651,0.99995,0.0096752,0.0028806,-0.0096738,0.99995,-0.00047123,-0.0028854,0.00044334,1,0.99995,0.0096752,0.0028806,-0.0096738,0.99995,-0.00047123,-0.0028854,0.00044334,1,0.65209,0.53442,31.346
-0.001214,0.00010258,30.825,0.059093,0.0025931,23.327,55,-0.2451,0.14045,0.0017958,-0.037086,-0.037086,1.4028,-0.0011712,0.0011712,-0.001247,0.99997,0.0011007,0.0074297,-0.0010945,1,-0.00084246,-0.0074304,0.00083431,0.99997,0.99997,0.0011007,0.0074297,-0.0010945,1,-0.00084246,-0.0074304,0.00083431,0.99997,0.77066,0.53448,31.341
-0.0013719,-8.4575e-05,30.829,0.051631,0.0034935,23.332,56,0.084261,-0.16869,-0.14167,0.234,0.36643,1.4028,0.011577,-0.0085081,-0.012886,0.99992,0.0033725,0.012126,-0.0033894,0.99999,0.0013726,-0.012121,-0.0014136,0.99993,0.99992,0.0033725,0.012126,-0.0033894,0.99999,0.0013726,-0.012121,-0.0014136,0.99993,0.88925,0.53429,31.345
-0.0013014,0.00010003,30.824,0.052435,0.0054125,23.326,57,-0.020975,-0.22313,-0.13909,0.50181,0.24505,1.4028,0.0077557,-0.015948,0.0037942,0.99994,0.004412,0.010172,-0.0044056,0.99999,-0.00065445,-0.010174,0.0006096,0.99995,0.99994,0.004412,0.010172,-0.0044056,0.99999,-0.00065445,-0.010174,0.0006096,0.99995,1.0081,0.53448,31.34
-0.0012525,3.386e-05,30.815,0.056492,0.0071113,23.314,58,-0.16739,-0.05053,-0.40375,0.46184,0.030247,1.4028,-0.0074901,-0.005408,-0.0021979,0.99997,0.00085969,0.0082784,-0.00085456,1,-0.00062281,-0.0082796,0.00061572,0.99997,0.99997,0.00085969,0.0082784,-0.00085456,1,-0.00062281,-0.0082796,0.00061572,0.99997,1.1269,0.53441,31.331
-0.001311,0.00011305,30.818,0.05554,0.0073486,23.315,59,-0.12673,-0.15163,-0.055009,0.62394,0.52266,1.4028,0.016737,-0.021094,-0.023434,0.99994,0.00029808,0.010599,-0.0002951,1,-0.00028307,-0.0106,0.00027993,0.99994,0.99994,0.00029808,0.010599,-0.0002951,1,-0.00028307,-0.0106,0.00027993,0.99994,1.2456,0.53449,31.333
-0.0013269,6.7356e-05,30.822,0.05197,0.0076532,23.323,60,-0.29966,-0.13713,-0.1846,0.19329,-0.15111,1.4028,-0.0072099,-0.0020531,0.0084461,0.99994,0.0022833,0.010649,-0.0022756,1,-0.00073595,-0.010651,0.00071168,0.99994,0.99994,0.0022833,0.010649,-0.0022756,1,-0.00073595,-0.010651,0.00071168,0.99994,1.3643,0.53444,31.338
-0.0012279,-4.8139e-05,30.818,0.056684,-0.0010102,23.319,61,-0.15617,-0.024458,-0.20673,-1.6554,-0.65004,1.4028,-0.052567,0.020819,0.021309,0.99996,0.0044875,0.0075997,-0.004494,0.99999,0.0008462,-0.0075963,-0.00088032,0.99997,0.99996,0.0044875,0.0075997,-0.004494,0.99999,0.0008462,-0.0075963,-0.00088032,0.99997,1.4832,0.53433,31.334
-0.0013111,1.0257e-05,30.821,0.05339,0.0014198,23.322,62,-0.038937,-0.13252,-0.29287,-0.16551,0.59836,1.4028,-0.0097674,-0.011175,-0.00047513,0.99995,0.0015723,0.010044,-0.0015671,1,-0.00053088,-0.010045,0.00051512,0.99995,0.99995,0.0015723,0.010044,-0.0015671,1,-0.00053088,-0.010045,0.00051512,0.99995,1.6018,0.53439,31.337
-0.0012913,-0.00032637,30.822,0.057371,-0.0042076,23.319,63,0.10655,0.14737,0.10859,1.584,0.77264,1.4028,0.072152,-0.082419,-0.060169,0.99993,-0.0010441,0.011781,0.00099554,0.99999,0.0041277,-0.011785,-0.0041156,0.99992,0.99993,-0.0010441,0.011781,0.00099554,0.99999,0.0041277,-0.011785,-0.0041156,0.99992,1.7206,0.53405,31.338
-0.0013144,-0.00013486,30.819,0.056645,0.012168,23.316,64,-0.021083,-0.02197,0.55941,-0.23502,0.052516,1.4028,0.001712,0.0089885,0.050753,0.99994,0.0019758,0.01044,-0.0019973,1,0.0020457,-0.010437,-0.0020665,0.99994,0.99994,0.0019758,0.01044,-0.0019973,1,0.0020457,-0.010437,-0.0020665,0.99994,1.8393,0.53424,31.335
-0.0011949,4.9047e-05,30.82,0.058887,-0.0056352,23.312,65,0.24685,-0.032575,0.31845,1.081,1.2136,1.4028,0.021917,-0.012752,0.009693,0.99998,0.00071376,0.0065903,-0.00071228,1,-0.0002264,-0.0065911,0.0002217,0.99998,0.99998,0.00071376,0.0065903,-0.00071228,1,-0.0002264,-0.0065911,0.0002217,0.99998,1.9582,0.53442,31.335
-0.00097014,4.1582e-05,30.829,0.050712,-0.0044735,23.327,66,-0.20084,0.070825,0.18694,0.25798,0.39132,1.4028,-0.012649,0.008519,0.0010573,1,0.0022182,0.001393,-0.0022168,1,-0.00099336,-0.0013955,0.00099027,1,1,0.0022182,0.001393,-0.0022168,1,-0.00099336,-0.0013955,0.00099027,1,2.0771,0.53442,31.344
-0.00090494,-0.00020769,30.836,0.05608,0.0022638,23.341,67,0,0,-0.12452,0.47049,0.32409,1.4028,0,0,-0.002163,0.99999,0.0050268,0,-0.0050268,0.99999,0,0,0,1,0.99999,0.0050268,0,-0.0050268,0.99999,0,0,0,1,2.196,0.53417,31.352
-0.0011024,0.00032162,30.826,0.054243,-0.00099477,23.325,68,0.0094464,-0.03008,-0.033551,2.3004,3.6661,9.9473,0.16538,-0.02471,-0.069767,0.99999,0.0025839,0.0034845,-0.0025711,0.99999,-0.0036478,-0.0034936,0.0036388,0.99999,0.99999,0.0025839,0.0034845,-0.0025711,0.99999,-0.0036478,-0.0034936,0.0036388,0.99999,0.57168,0.61504,31.342
