"DISPL:0","DISPL:1","DISPL:2","LINVEL:0","LINVEL:1","LINVEL:2","NUMBER","ANGVEL:0","ANGVEL:1","ANGVEL:2","FORCE:0","FORCE:1","FORCE:2","TORQUE:0","TORQUE:1","TORQUE:2","ORIENT:0","ORIENT:1","ORIENT:2","ORIENT:3","ORIENT:4","ORIENT:5","ORIENT:6","ORIENT:7","ORIENT:8","ORIENT1:0","ORIENT1:1","ORIENT1:2","ORIENT2:0","ORIENT2:1","ORIENT2:2","ORIENT3:0","ORIENT3:1","ORIENT3:2","Points:0","Points:1","Points:2"
-0.00068818,0,0,0.057973,0,0,0,0,0,0,3014.2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1.3649,1.3656,0.4125
-0.0008915,0.00012067,30.836,0.056358,0.0017518,23.341,1,0,0,0.053281,0,0,1.4028,0,0,0,1,-0.0021267,0,0.0021267,1,0,0,0,1,1,-0.0021267,0,0.0021267,1,0,0,0,1,0.77098,0.297,31.352
-0.00089555,1.2566e-05,30.828,0.059206,0.0010542,23.334,2,0.11735,0.35062,0.01887,1.8725,1.8725,1.4028,-0.059422,0.059422,0.062416,1,0.0026973,0.0015826,-0.0026985,1,0.00071803,-0.0015812,-0.00072229,1,1,0.0026973,0.0015826,-0.0026985,1,0.00071803,-0.0015812,-0.00072229,1,0.88973,0.29689,31.344
-0.00088325,0.00013243,30.829,0.057887,-0.0032416,23.335,3,-0.031026,0.023745,-0.16471,2.4963,1.4524,1.4028,-0.046082,0.079152,-0.048425,0.99999,0.0047583,0.0013112,-0.0047597,0.99999,0.0010364,-0.0013067,-0.0010426,1,0.99999,0.0047583,0.0013112,-0.0047597,0.99999,0.0010364,-0.0013067,-0.0010426,1,1.0085,0.29701,31.345
-0.00096578,-9.2236e-05,30.829,0.055093,0.014861,23.334,4,-0.23978,-0.15319,-0.19124,2.9982,2.9982,1.4028,-0.0096563,0.0096563,0.010088,0.99998,0.0062945,0.0020706,-0.0062914,0.99998,-0.0015297,-0.002081,0.0015167,1,0.99998,0.0062945,0.0020706,-0.0062914,0.99998,-0.0015297,-0.002081,0.0015167,1,1.1272,0.29678,31.345
-0.00088367,0.00016036,30.83,0.077215,-0.0018149,23.335,5,-0.28815,-0.011232,-0.34505,-0.37023,0.24962,1.4028,-0.011818,-0.0080406,0.020654,0.99998,0.00555,0.0005819,-0.0055502,0.99998,0.00031916,-0.00058056,-0.00032238,1,0.99998,0.00555,0.0005819,-0.0055502,0.99998,0.00031916,-0.00058056,-0.00032238,1,1.246,0.29704,31.346
-0.0009343,1.3574e-05,30.831,0.063925,0.011581,23.337,6,0.3339,-0.0034478,-0.13268,0,0,1.4028,0,0,0,0.99999,0.0043194,0.0023357,-0.0043204,0.99999,0.00040048,-0.0023345,-0.00041056,1,0.99999,0.0043194,0.0023357,-0.0043204,0.99999,0.00040048,-0.0023345,-0.00041056,1,1.3647,0.29689,31.347
-0.00085908,3.4216e-05,30.829,0.059604,-0.0020705,23.335,7,0.13631,0.054888,-0.05931,3.5894,0.27341,1.4028,-0.0087274,0.11378,-0.0090182,1,0.0011326,0.0013622,-0.001134,1,0.0010279,-0.0013615,-0.0010294,1,1,0.0011326,0.0013622,-0.001134,1,0.0010279,-0.0013615,-0.0010294,1,1.4835,0.29691,31.345
-0.00088175,2.1281e-05,30.83,0.059666,0.0031064,23.336,8,0.078579,0.11135,-0.13769,1.2854,-1.275,1.4028,-0.011754,-0.011416,-0.0011481,1,0.0023048,0.0019054,-0.002306,1,0.00066173,-0.0019039,-0.00066612,1,1,0.0023048,0.0019054,-0.002306,1,0.00066173,-0.0019039,-0.00066612,1,1.6022,0.2969,31.346
-0.00084501,-1.7393e-05,30.828,0.049877,0.0079982,23.334,9,-0.26529,-0.38261,0.27662,-1.482,1.482,1.4028,0.047,0.047,-0.049467,1,0.00037812,-0.00095551,-0.00037755,1,0.00059923,0.0009553,-0.00059887,1,1,0.00037812,-0.00095551,-0.00037755,1,0.00059923,0.0009553,-0.00059887,1,1.721,0.29686,31.344
-0.00087048,-0.00017174,30.83,0.057093,-0.0010848,23.336,10,-0.043042,0.016338,0.029419,-0.4577,0.58854,1.4028,-0.018668,-0.014518,-0.015637,0.99999,0.0053801,-9.1036e-05,-0.0053801,0.99999,0.00016392,9.158e-05,-0.00016342,1,0.99999,0.0053801,-9.1036e-05,-0.0053801,0.99999,0.00016392,9.158e-05,-0.00016342,1,1.8397,0.2967,31.346
-0.00096571,-0.00011221,30.836,0.061805,-0.0057102,23.341,11,0,0,0.10511,0,0,1.4028,0,0,0,1,0.00019429,0,-0.00019429,1,0,0,0,1,1,0.00019429,0,-0.00019429,1,0,0,0,1,1.9584,0.29676,31.352
-0.0010297,4.8852e-05,30.825,0.054056,0.0060626,23.328,12,-0.0023484,-0.013385,0.11416,3.7842,-3.7842,19.895,-0.11959,-0.11959,-0.30739,0.99999,0.0019848,0.0035144,-0.0019826,1,-0.00065019,-0.0035157,0.00064321,0.99999,0.99999,0.0019848,0.0035144,-0.0019826,1,-0.00065019,-0.0035157,0.00064321,0.99999,0.83022,0.3563,31.341
